	sample_30189	sample_30206	sample_30221	sample_30234	sample_30423	sample_30487	sample_30489	sample_30534	sample_30588	sample_30598	sample_30599	sample_30621	sample_30659	sample_30705	sample_30768	sample_30817	sample_30841	sample_30847	sample_30850	sample_30900	sample_30901	sample_30905	sample_30928	sample_30986	sample_30992	sample_30995	sample_30996	sample_31047	sample_31058	sample_31083	sample_31132	sample_31151	sample_31180	sample_31188	sample_31213	sample_31250	sample_31253	sample_31275	sample_31287	sample_31309	sample_31395	sample_31419	sample_31421	sample_31426	sample_31429	sample_31465	sample_31507	sample_31517
Gemella	53	6	0	0	20	368	0	4	0	0	0	41	8	26	7	0	171	178	13	0	7	24	0	49	32	0	0	29	17	17	0	0	0	10	0	0	95	0	0	24	0	0	0	54	34	0	4	0
Macrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	14	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Facklamia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicatella	0	0	14	0	18	0	0	0	0	0	0	49	20	23	0	0	23	59	0	0	0	76	0	47	147	0	0	55	44	0	10	0	0	12	0	0	35	0	0	13	0	0	0	0	0	0	0	0
Enterococcus	56	0	467	9	0	73	0	0	0	0	0	0	0	0	22	50	0	37	2089	0	0	26	0	0	2484	0	42	0	385	0	0	31	14	0	0	12	46	28	0	43	304	0	77	82	10	25	0	15
Vagococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus	323	0	419	84	9519	111	2404	454	2519	9	0	202	160	132	1307	0	31	666	177	168	0	2544	60	681	42	0	0	80	947	4	16	16	0	0	167	35	12	0	6	1435	1493	168	0	806	72	98	0	11
Pediococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Fructobacillus	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Leuconostoc	123	0	3	7	0	14	0	0	0	21	0	151	6	44	178	13	18	3	175	6	0	0	0	0	57	0	0	0	0	0	0	0	8	0	0	33	8	0	4	140	0	0	0	32	7	0	0	0
Weissella	0	0	0	0	42	272	12	260	0	0	11	0	0	5	0	273	28	0	0	11	0	0	0	707	2290	0	29	21	9	333	3	0	0	134	0	73	0	2	0	0	149	0	0	860	200	0	0	17
Lactococcus	301	0	3	14	0	51	0	58	0	24	9	249	0	0	8	557	0	10	22	0	0	41	0	0	222	0	0	24	13	20	0	35	0	0	12	0	617	0	0	149	24	0	0	1606	10	10	0	45
Streptococcus	876	28	504	57	868	8994	128	630	571	90	168	5010	86	830	490	646	592	2173	3774	26	64	5682	6	8651	21227	326	236	281	1113	628	176	144	16	625	53	844	1047	95	129	3007	2555	38	5162	9301	312	127	159	137
Catabacter	0	0	0	0	0	0	0	44	0	0	6	0	14	8	0	0	0	0	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
Christensenella	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	12	11	0	0	0	5	23	0	9	0	52	0	41	0	0	0	0	7	0	0	0	0	0	0	13	0	0	0	0	0	16	0	0
Christensenellaceae_R.7_group	345	13676	4	3120	950	443	899	1739	7652	4225	385	94	2437	194	808	1434	62	8	3331	767	1776	471	8	1156	17	11	1060	164	14	870	408	3	1051	299	1692	196	1703	3000	414	2480	2379	3949	623	5596	261	1262	1044	950
Clostridium_CAG.352	0	0	0	0	0	0	0	0	768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_sensu_stricto_1	4989	2774	5	93	60	174	2975	6272	2974	0	69	295	60	10	654	10668	5881	55	6088	70	444	140	565	134	0	0	601	0	73	2212	1632	3322	211	1175	119	62	5095	1958	1754	1135	4246	1137	17	20	2001	107	43	246
Clostridium_sensu_stricto_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0
Sarcina	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	40	18	254	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0
Clostridiales_bacterium_S5-A14a	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defluviitaleaceae_UCG.011	0	0	0	84	36	0	9	11	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	6	0	0	0	0	0	0
Anaerofustis	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	6	6	0	6	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0
Eubacterium	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	62	0	0	0	0	18	0	0	0	0	0	0	0	5	0	2	0	2	0	0	0	0	0	0
Anaerococcus	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	1227	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	4	44	0	0
Ezakiella	0	0	15	0	0	3	5	0	17	24	0	0	0	0	0	0	0	0	0	0	4	0	31	4853	0	13	9	0	1499	0	208	0	52	0	0	93	0	0	0	130	0	3	10	0	0	122	0	0
Finegoldia	5	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	116	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Gallicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvimonas	8	0	0	0	6	5	0	0	0	0	0	3	0	0	0	0	2	0	0	0	3	0	15	13	20	0	3	0	0	0	0	5	0	0	0	0	7	31	0	0	0	0	0	0	0	106	0	0
Peptoniphilus	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	30	659	2	0	2	0	1734	0	4	0	0	0	0	0	0	0	0	24	0	0	0	0	4	40	0	0
Family_XIII_AD3011_group	97	50	24	170	103	288	391	149	339	94	87	18	21	107	33	213	458	6	244	197	8	133	0	52	1331	11	15	78	0	215	15	12	49	14	192	78	170	18	33	1708	25	118	169	72	39	349	14	276
Mogibacterium	0	0	5	0	0	41	17	5	3	0	0	9	0	0	0	15	20	8	6	0	0	11	0	108	45	0	0	2	40	0	0	0	0	0	0	0	8	13	0	924	0	4	0	12	9	0	0	0
Murdochiella	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	0	0	0	0	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agathobacter	11549	298	2511	1741	4254	4478	2660	10220	5189	759	5978	11280	967	976	1681	2461	7618	2854	1426	345	5110	1355	52	7090	1746	220	2834	849	12977	2280	482	1271	1309	2852	6680	566	2991	656	7480	2221	7970	1351	6055	1624	1980	88	4212	488
Anaerostipes	766	370	3656	38	61	511	168	803	519	80	659	2215	24	0	390	399	6822	177	2178	1199	61	66	95	22	1043	90	13	1767	3283	885	48	822	18	23	42	79	313	25	67	536	525	151	1049	358	392	81	92	109
Blautia	12137	1669	6833	711	361	4672	2258	1578	8765	407	2553	4479	446	73	1043	2652	20909	7077	13556	1092	662	2298	130	1570	16898	193	359	2265	5887	3244	253	1829	243	431	595	1385	4312	432	1289	1699	2516	2431	3200	4551	1402	227	1100	1490
Butyrivibrio	0	0	0	0	0	8	171	0	0	0	0	0	0	0	90	786	0	0	12	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	696	0	0	0	1036	20	0	0	0	0	0
Cellulosilyticum	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0
Coprococcus_1	63	68	0	45	11	70	133	105	247	168	57	78	31	0	23	130	73	0	445	160	13	117	8	56	298	0	17	60	12	132	21	63	44	25	77	37	97	17	26	166	100	187	107	149	151	155	56	69
Coprococcus_2	0	173	0	127	866	70	902	0	524	0	0	75	0	0	0	605	0	0	2285	20	1169	499	0	70	0	0	765	0	0	562	0	96	0	270	322	0	70	31	200	216	1592	82	4154	220	0	140	0	270
Coprococcus_3	238	76	10520	157	23	258	362	244	272	64	0	321	236	29	78	342	1808	138	489	87	97	316	199	131	203	0	89	195	112	280	63	119	155	154	463	30	169	271	506	244	771	255	2084	888	685	252	206	824
Dorea	987	157	4505	491	247	2771	1044	875	771	81	381	1535	612	144	175	766	5101	6705	3896	415	350	444	112	345	4124	65	181	244	1475	2826	159	281	208	84	1315	428	792	173	318	2900	696	314	2092	996	1021	208	204	1289
Eisenbergiella	0	0	0	0	0	0	0	0	0	256	42	0	75	0	0	0	0	6	0	0	0	0	0	0	0	28	0	108	0	0	0	0	4	0	0	23	0	0	0	0	0	0	4	0	0	2319	79	51
Epulopiscium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0	0	0
Fusicatenibacter	3102	186	486	342	44	666	119	791	221	126	90	1571	165	28	136	585	3221	8881	3187	105	50	406	0	762	2518	37	21	103	1719	1041	133	728	64	93	212	79	350	111	357	146	961	265	1019	406	672	62	170	113
GCA.900066225_genus	0	43	0	64	6	0	203	7	6	61	43	0	9	0	7	29	0	0	0	0	20	0	0	8	0	0	0	0	0	84	0	0	14	0	42	16	0	67	0	41	0	57	22	27	0	450	0	67
GCA.900066575_genus	0	0	20	12	13	0	21	24	7	23	20	0	0	0	0	0	0	0	0	0	48	13	6	25	0	0	8	38	0	0	0	0	19	0	32	0	0	0	0	0	18	29	9	48	0	0	39	0
GCA.900066755_genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0
Howardella	0	0	0	256	197	0	259	0	0	0	122	0	74	0	0	0	0	0	0	0	0	56	0	19	0	0	0	0	0	0	104	0	47	0	0	0	0	0	0	0	0	0	0	0	0	67	42	0
Hungatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1728	0	0	0	0	0	0	0	0	0	799	0	53
Lachnoanaerobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Lachnoclostridium	148	53	507	35	7	0	54	34	0	1422	358	69	170	372	0	0	94	1614	119	0	431	268	356	359	0	102	460	1002	9	88	109	0	158	290	1004	72	25	9	713	129	243	270	224	308	937	980	9260	412
Lachnospira	424	100	194	487	606	31	197	187	29	5587	4747	276	208	506	22	68	206	24	305	106	1023	135	1947	94	42	1880	673	27	28	351	79	50	1345	235	885	29	34	32	358	152	639	313	425	1372	341	30	464	336
