	sample_30213	sample_30220	sample_30237	sample_30250	sample_30471	sample_30482	sample_30501	sample_30539	sample_30558	sample_30563	sample_30567	sample_30582	sample_30629	sample_30701	sample_30711	sample_30717	sample_30721	sample_30725	sample_30742	sample_30782	sample_30802	sample_30860	sample_30925	sample_30927	sample_30940	sample_30961	sample_31000	sample_31003	sample_31004	sample_31043	sample_31285	sample_31289	sample_31299	sample_31305	sample_31311	sample_31380	sample_31402	sample_31416	sample_31420	sample_31511	sample_31516	sample_75015
Clostridium_CAG.352	0	0	0	0	0	0	0	75	87	19	0	984	0	0	0	4	0	133	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_sensu_stricto_1	44	1431	13	12161	12222	82	16	4426	1872	4406	60	368	62	39	1212	163	1394	424	240	28	50	7303	313	3522	2534	459	15174	0	10	0	0	140	886	197	1270	0	380	66	84	32	115	22
Clostridium_sensu_stricto_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0
Sarcina	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiales_bacterium_S5-A14a	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defluviitaleaceae_UCG.011	19	0	0	0	0	0	73	24	0	0	0	36	0	0	12	0	0	85	0	0	8	0	0	0	0	36	5	0	11	0	0	0	16	0	0	0	0	0	0	0	0	0
Anaerofustis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	13	0	0	0	0	0	0	0
Eubacterium	0	0	0	28	0	0	0	0	0	13	0	0	0	0	0	4	0	31	0	0	0	0	2	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Ezakiella	13	417	0	2	0	23	0	0	6	3	0	25	0	40	0	0	15	182	0	3	0	0	0	0	45	17	82	0	6	0	0	0	0	0	6	0	0	0	0	41	0	0
Finegoldia	0	21	0	3	0	0	0	4	0	0	0	3	0	5	0	0	0	6	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gallicola	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvimonas	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	8	0	7	0	0	21	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0
Peptoniphilus	0	226	0	0	0	6	0	0	5	0	0	5	0	20	0	0	0	11	0	0	0	0	3	0	4	2	10	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
Family_XIII_AD3011_group	80	224	16	397	471	166	224	213	123	1552	159	80	35	33	85	82	416	196	31	32	33	307	157	174	23	21	33	180	226	0	0	29	244	38	241	0	41	327	101	15	72	335
Mogibacterium	0	25	3	15	14	2	0	0	0	37	17	0	43	0	0	3	204	4	0	0	0	25	0	9	0	0	0	0	21	0	0	0	0	10	6	0	0	0	0	0	0	18
Murdochiella	0	14	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agathobacter	3352	3435	1800	832	7809	2302	620	1201	1123	1282	5904	7227	4973	2212	1683	3309	7937	2401	1678	802	816	1646	3077	3406	7517	1526	4312	0	1628	2771	0	2481	1962	1930	695	1258	3961	2446	4563	3476	4027	5274
Anaerosporobacter	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0
Anaerostipes	1033	484	108	55	1625	501	2072	1625	109	1492	0	1362	99	54	108	3065	649	18	28	41	17	1784	1333	84	44	17	102	7	17	68	0	12	8142	535	6289	29	304	170	1308	13	57	859
Blautia	199	9502	584	6343	16248	1302	950	3794	663	29252	183	2686	1349	438	964	10665	11171	1176	282	488	237	7632	14917	755	853	98	2255	665	243	323	89	261	3362	2084	8885	43	2165	957	2663	289	1013	7335
Butyrivibrio	0	0	0	307	0	0	457	859	36	655	0	0	54	555	0	0	0	0	0	0	804	0	0	0	0	0	0	0	15	0	0	0	954	0	0	0	3145	0	0	0	0	0
Cellulosilyticum	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
Coprococcus_1	10	119	17	123	553	36	105	37	18	174	37	150	76	39	52	111	80	74	11	19	13	283	195	15	105	25	194	50	27	0	0	0	243	41	0	0	55	132	156	20	31	95
Coprococcus_2	555	223	18	216	399	990	0	577	500	506	204	2501	0	559	321	134	779	0	2066	0	1326	411	128	327	54	1365	820	0	877	2176	0	0	590	0	0	132	4264	468	1858	0	0	1199
Coprococcus_3	157	669	197	180	422	101	80	294	72	375	68	710	113	148	303	142	152	300	231	229	117	273	504	635	193	68	229	59	238	0	0	79	508	318	869	183	230	455	422	480	719	286
Dorea	234	4656	524	1826	3062	564	2649	794	182	3984	137	459	268	187	601	1692	3712	352	250	279	274	2940	1368	244	145	156	958	279	214	269	0	172	614	407	2009	658	708	630	484	328	234	1205
Eisenbergiella	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	117	0	14	0	0	0	0	21	0	14	0	0	98	0	0	0	0	0	0	0	0	0	85	33	0
Epulopiscium	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusicatenibacter	69	755	85	452	1812	183	25	1062	189	1709	186	962	166	132	131	4025	600	485	84	167	34	1091	3936	63	62	65	992	126	60	143	0	48	286	361	2725	76	89	1101	436	119	53	721
GCA.900066225_genus	20	0	6	136	25	38	108	8	26	0	25	46	0	28	14	0	8	119	11	17	0	11	16	11	0	0	4	0	23	0	0	44	10	0	0	0	14	66	44	32	0	32
GCA.900066575_genus	22	0	0	0	0	0	47	43	14	0	40	85	8	16	23	0	6	269	0	0	27	6	12	0	36	0	8	0	0	32	0	21	116	0	18	0	123	113	0	37	0	0
GCA.900066755_genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
Howardella	0	657	40	0	0	0	49	0	0	0	102	0	72	77	0	0	268	0	0	0	121	0	0	0	0	0	0	0	99	0	0	49	0	0	0	0	0	0	0	0	0	0
Hungatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	12	0	0	0	0	29	0	0	0	605	0	0	0	0	0	0	0	0	0	15	22
Lachnoanaerobaculum	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnoclostridium	70	0	17	42	0	101	99	79	278	11	299	504	235	120	98	53	89	586	79	67	71	5	583	23	948	222	868	2585	188	616	3930	140	195	150	129	115	647	216	116	1638	688	0
Lachnoclostridium_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0
Lachnospira	1441	155	23	193	24	122	101	82	347	175	450	1394	124	2110	517	21	18	1961	1050	308	207	346	201	570	3258	659	2903	41	475	1055	0	2268	2182	258	31	104	2547	789	218	543	324	97
Lachnospiraceae_AC2044_group	335	0	0	270	193	22	336	59	0	0	398	100	15	245	0	0	65	148	12	262	201	11	0	0	0	0	0	0	134	0	0	0	77	0	0	0	95	653	0	0	0	0
Lachnospiraceae_FCS020_group	36	125	62	66	504	10	63	49	0	184	0	86	31	14	36	31	120	84	0	0	0	82	104	0	30	0	6	0	18	0	0	10	58	8	0	10	43	94	39	4	13	253
Lachnospiraceae_NC2004_group	2970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1073	80	0	0	0
Lachnospiraceae_ND3007_group	21	0	7	13	26	21	99	88	191	150	12	163	10	24	0	35	0	204	26	25	65	111	78	63	63	10	423	98	18	22	0	107	171	22	138	12	100	368	295	21	28	5
Lachnospiraceae_NK4A136_group	1322	324	586	150	295	374	5345	2046	2854	333	1124	2384	479	3322	84	560	283	1252	2307	1776	2116	245	112	226	11831	1563	1180	44	4798	1504	119	1583	7370	369	153	561	4696	6024	1139	1599	1294	809
Lachnospiraceae_NK4B4_group	66	0	0	0	75	29	0	0	39	12	14	101	0	0	0	0	82	0	0	37	89	20	0	0	0	0	18	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
Lachnospiraceae_UCG.001	23	0	0	71	39	149	0	37	14	210	463	920	0	24	17	0	0	524	8	42	53	29	49	12	209	35	75	0	0	14	0	214	518	357	0	0	816	126	141	14	91	19
Lachnospiraceae_UCG.003	0	0	0	27	0	9	0	17	59	0	22	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	952	0	0	0	313	46	66	0	0	0
Lachnospiraceae_UCG.004	19	0	0	0	0	16	63	23	28	0	28	264	0	63	0	0	0	298	36	0	54	0	0	0	91	0	165	125	13	22	0	185	117	19	0	29	245	334	76	0	96	0
Lachnospiraceae_UCG.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Lachnospiraceae_UCG.008	0	0	0	0	0	7	26	0	0	0	0	6	0	0	6	0	0	0	0	0	0	5	0	9	0	0	12	0	19	0	0	0	8	0	0	0	12	0	4	0	0	0
Lachnospiraceae_UCG.010	22	5	109	0	23	114	114	117	85	10	145	50	29	30	41	0	6	212	0	192	184	0	48	7	91	52	0	65	10	248	0	264	67	177	0	31	212	178	32	0	363	21
Marvinbryantia	19	203	40	57	209	13	42	161	27	317	0	29	0	9	36	117	77	29	0	17	23	313	124	0	0	0	0	0	16	0	0	0	312	0	0	0	130	113	61	0	0	300
Oribacterium	75	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	13	0	0	25	0	0	0	0	0	45	549	0	0	0	0	0	0	0	0	6	0	0	0	0
Parasporobacterium	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Robinsoniella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0
Roseburia	5305	258	194	3707	151	761	74	379	884	535	2925	2092	1050	2237	1849	221	718	2468	237	1095	567	166	382	0	5621	563	325	3455	232	5271	366	676	3184	1220	246	56	1468	2147	940	2054	2044	330
Sellimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11	0	0	0	0	53	0	0	0	0	0	0	34	0	0	5	15	0	0	0	8	0	10	0	0
Shuttleworthia	0	110	0	14	0	0	68	9	0	0	0	0	0	0	0	51	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0
Stomatobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tyzzerella	0	0	0	0	0	159	144	34	0	0	34	0	0	62	0	19	8	32	48	0	0	0	5	0	0	0	0	10	3	0	320	339	0	0	91	0	0	41	78	57	0	0
Tyzzerella_3	0	0	0	136	0	0	0	109	34	0	20	0	9	0	0	0	0	0	0	0	0	0	222	0	0	0	2350	0	0	0	0	0	0	21	779	0	0	0	0	85	12	16
Tyzzerella_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	204	0	124	0	0	0	96	0	0	0	0	14	0	0	14	277	0	0	102	0	0	0	20	0	97	0	0
Peptococcus	27	37	0	0	0	0	0	0	0	3	0	156	0	0	0	0	0	62	0	0	0	0	0	33	0	0	4	2	20	0	0	0	0	0	0	0	0	0	16	0	0	0
Intestinibacter	7	2416	0	580	1283	0	0	172	80	307	21	0	13	0	817	0	28	103	36	0	0	6917	137	139	0	0	17	0	46	35	121	0	86	0	1534	19	21	163	17	54	19	62
Paeniclostridium	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
Peptostreptococcaceae_bacterium_oral_taxon_113_str._W5053	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
