	sample_30252	sample_30502	sample_30625	sample_30641	sample_30654	sample_30728	sample_30729	sample_31032	sample_31208	sample_31238	sample_31268	sample_31313	sample_31332	sample_31382	sample_31436	sample_31455	sample_31513
Enterococcus	17328	706	0	295	28	0	89	0	201	30	266	605	20	0	0	0	33
Lactobacillus	972	226	0	3	0	2291	10	180	157	630	674	109	8	2	0	99	0
Leuconostoc	48	7	0	33	0	15	10	0	0	10	0	331	0	0	3	0	0
Weissella	0	0	30	0	0	96	19	0	27	18	0	27	3809	0	0	0	0
Lactococcus	103	6	4	12	0	19	10	0	52	0	110	19	79	0	44	0	0
Streptococcus	9980	173	433	461	46	214	331	1297	7131	834	2433	2968	4327	491	21	2749	0
Catabacter	0	0	0	0	0	0	0	0	0	0	0	12	0	20	5	0	0
Christensenella	0	0	6	0	0	0	0	0	0	0	0	0	15	0	0	9	0
Christensenellaceae_R.7_group	39	592	2005	57	1958	261	774	1084	4646	4324	704	4779	3326	1242	5434	278	1459
Clostridium_CAG.352	0	0	0	0	0	0	0	0	1401	0	0	0	0	0	0	0	0
Clostridium_sensu_stricto_1	223	1117	939	4126	1333	469	289	0	52	2019	191	1137	1099	3581	1028	0	153
Sarcina	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0
Clostridiales_bacterium_S5-A14a	13	9	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Defluviitaleaceae_UCG.011	0	0	50	37	53	0	0	0	0	0	0	0	0	7	0	0	0
Anaerofustis	0	0	0	0	0	0	9	0	0	13	0	0	0	0	14	0	19
Eubacterium	6887	8	0	0	14	0	0	0	0	0	0	0	0	0	3	0	0
Anaerococcus	556	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Ezakiella	230	120	0	0	0	14	0	0	0	0	0	28	0	0	0	0	0
Finegoldia	113	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvimonas	10	0	0	4	0	0	0	0	10	0	0	0	0	0	0	0	0
Peptoniphilus	1172	0	7	0	0	17	2	0	0	0	0	3	0	0	0	0	0
Family_XIII_AD3011_group	0	270	71	960	387	200	151	241	329	615	161	271	265	91	415	7	296
Mogibacterium	123	0	28	374	0	5	0	0	0	0	0	23	0	0	55	0	6
Murdochiella	0	17	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Agathobacter	80	1290	7025	863	4002	4187	394	2549	347	4006	2925	6737	7642	5906	153	0	136
Anaerosporobacter	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0
Anaerostipes	61	459	602	237	73	2484	368	2969	632	3707	257	8854	245	912	1155	0	66
Blautia	2910	5967	4170	1446	2720	8343	3381	8766	2141	18355	10316	17717	3086	3152	572	290	1161
Butyrivibrio	0	0	2362	0	6137	0	9	0	0	0	0	0	0	0	0	0	209
Cellulosilyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
Coprococcus_1	2238	144	165	372	401	0	64	658	252	812	493	434	95	78	59	0	341
Coprococcus_2	0	42	120	0	2963	0	126	105	35	0	0	16	56	111	168	0	189
Coprococcus_3	0	173	2438	769	161	647	63	373	920	737	1439	1488	765	1167	274	359	694
Dorea	0	744	2423	3876	2476	2105	629	1126	371	1197	2104	5226	1098	2447	361	15	672
Eisenbergiella	0	0	0	0	0	0	0	0	0	188	0	0	0	0	56	78	0
Epulopiscium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0
Fusicatenibacter	17	300	103	214	365	272	152	1820	1163	1070	1862	3399	601	646	29	418	366
GCA.900066225_genus	0	0	15	22	22	0	0	0	36	0	4	0	35	0	13	22	30
GCA.900066575_genus	30	7	25	8	0	0	0	0	46	0	0	13	7	13	0	11	0
Howardella	0	251	0	272	104	0	0	0	0	0	0	899	0	0	0	0	45
Hungatella	231	0	0	0	0	0	0	0	0	30	0	0	42	0	54	25	0
Lachnoclostridium	947	38	656	48	198	36	0	12	2215	117	87	99	209	599	8	211	125
Lachnospira	0	30	264	170	49	96	14	446	660	35	31	943	52	167	66	1197	66
Lachnospiraceae_AC2044_group	0	134	224	0	219	12	4	0	0	0	0	17	0	0	27	0	0
Lachnospiraceae_FCS020_group	0	108	66	194	112	160	11	237	14	85	233	340	12	57	13	0	24
Lachnospiraceae_NC2004_group	0	0	0	0	0	0	0	0	0	0	0	1052	0	0	0	0	0
Lachnospiraceae_ND3007_group	0	6	61	217	74	11	0	98	21	25	0	64	73	523	20	12	60
Lachnospiraceae_NK4A136_group	0	553	8129	678	1606	130	157	691	2356	524	148	2256	494	2431	11	3645	886
Lachnospiraceae_NK4B4_group	0	0	0	30	0	0	0	0	46	0	0	0	0	0	0	0	0
Lachnospiraceae_UCG.001	0	0	102	0	0	427	0	85	162	0	0	530	20	22	0	144	22
Lachnospiraceae_UCG.003	0	0	0	0	0	0	0	0	105	1057	0	0	0	0	20	0	0
Lachnospiraceae_UCG.004	0	0	40	55	26	0	0	36	619	0	0	0	0	22	0	7	17
Lachnospiraceae_UCG.008	0	0	0	6	58	0	0	14	5	0	0	53	0	0	0	0	8
Lachnospiraceae_UCG.010	0	41	242	36	322	0	26	106	1572	186	0	0	32	217	0	513	381
Lactonifactor	0	0	0	0	0	0	9	0	0	0	0	0	0	0	10	0	0
Marvinbryantia	0	244	62	105	115	0	0	114	40	0	80	320	70	0	26	0	23
Oribacterium	0	0	8	35	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseburia	0	790	933	2755	694	460	262	2219	2401	198	215	1813	267	3445	132	14538	97
Sellimonas	0	6	6	0	0	0	14	0	12	239	14	32	0	0	15	0	0
Shuttleworthia	0	13	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0
Tyzzerella	0	0	0	0	0	0	0	0	0	58	0	0	123	8	0	15	0
Tyzzerella_3	0	0	0	0	0	0	104	0	0	0	597	0	41	0	0	0	93
Tyzzerella_4	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0
Peptococcus	0	2	0	0	312	0	0	0	0	0	0	0	0	0	0	30	0
Intestinibacter	357	11	0	639	118	0	0	0	0	789	0	18	246	0	490	0	0
Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
Romboutsia	0	596	269	110	1050	391	48	0	26	1889	46	1433	2821	1180	319	0	45
Terrisporobacter	907	0	0	608	46	0	13	0	0	714	0	0	243	0	50	0	80
Acetanaerobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Anaerofilum	0	0	149	56	0	0	0	28	2	0	0	0	0	4	0	22	19
Anaerotruncus	0	0	4	0	0	0	0	0	7	0	0	0	2	0	27	0	0
Angelakisella	0	0	53	0	80	0	0	0	87	35	0	0	42	0	0	0	0
Butyricicoccus	0	122	230	143	0	0	41	80	137	0	324	521	107	1654	6	167	62
Candidatus_Soleaferrea	0	4	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0
Caproiciproducens	0	0	0	0	0	0	0	0	31	0	0	0	0	5	0	0	10
Faecalibacterium	0	7981	8151	4811	16616	4510	1039	7438	34593	8285	1286	5512	1958	9913	619	2516	2050
Faecalibacterium_sp.UBA1819	4341	29	41	85	82	26	85	0	57	877	26	117	419	102	661	72	626
Fastidiosipila	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavonifractor	46	6	10	8	31	0	0	0	111	215	0	44	9	7	46	201	0
Fournierella	0	4	270	22	414	0	0	23	0	120	0	0	20	0	0	0	29
Hydrogenoanaerobacterium	0	0	0	0	0	0	8	0	0	0	0	0	0	0	48	0	0
Intestinimonas	0	0	157	0	23	0	39	0	13	11	0	74	0	23	83	52	147
Negativibacillus	0	0	138	0	595	0	9	7	864	306	0	0	0	74	0	26	0
Oscillibacter	0	0	89	0	101	0	0	5	129	136	13	41	12	51	34	337	97
Oscillospira	0	0	0	6	10	0	0	0	5	0	0	0	0	0	0	0	0
Papillibacter	0	0	8	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Phocea	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8
Pseudoflavonifractor	0	0	0	0	0	0	0	0	14	29	0	0	0	0	0	0	0
Ruminiclostridium	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Ruminiclostridium_5	243	8	51	321	1012	1192	335	49	200	531	152	7691	882	393	731	80	0
Ruminiclostridium_6	0	14	1116	99	69	0	196	0	350	10	0	918	188	0	159	0	0
Ruminiclostridium_9	0	0	119	18	100	42	73	36	36	16	0	0	8	37	16	23	66
Ruminococcaceae_NK4A214_group	0	193	1710	2502	3655	721	182	1153	3533	1678	557	242	1202	214	473	219	2070
Ruminococcaceae_UCG.002	0	726	8152	8278	11235	110	417	1141	15275	17017	0	1742	1261	1536	8751	859	5535
Ruminococcaceae_UCG.003	0	0	208	126	241	23	27	91	803	0	0	141	139	69	0	142	56
Ruminococcaceae_UCG.004	0	0	0	0	0	0	272	0	0	0	0	0	142	62	216	32	0
Ruminococcaceae_UCG.005	0	71	3842	398	1280	9	353	2015	4579	1850	47	98	98	962	2039	540	1825
Ruminococcaceae_UCG.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Ruminococcaceae_UCG.009	0	0	74	0	0	0	0	0	0	0	0	0	11	0	0	23	24
Ruminococcaceae_UCG.010	0	2	126	595	962	0	116	276	797	121	0	36	230	71	577	49	281
Ruminococcaceae_UCG.011	0	4	28	0	0	0	0	0	0	0	0	0	31	0	18	0	0
Ruminococcaceae_UCG.013	0	2009	358	2121	619	637	175	604	392	54	2039	7603	754	4743	15	172	294
Ruminococcaceae_UCG.014	0	2565	23277	37	8957	9570	8193	0	448	256	1031	7871	53	3192	9937	564	3594
Ruminococcaceae_V9D2013_group	0	0	0	0	27	0	0	0	0	0	0	0	0	0	73	0	0
Ruminococcus_1	40	79	376	4	952	443	999	980	1373	9510	1409	335	376	8692	593	1046	134
Ruminococcus_2	0	931	5773	3077	1140	0	865	0	1063	2053	0	628	10148	19962	4516	829	2516
Sporobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
Subdoligranulum	18	13917	11115	9571	4627	8050	1013	7125	1865	834	316	10591	22684	6167	1539	1007	1716
Clostridiales_bacterium_DTU089	0	30	0	9	0	0	15	0	0	0	0	0	87	0	6	0	0
Family_XIII_UCG-001	0	0	69	29	191	11	27	12	231	68	0	102	26	70	17	8	8
Clostridia_bacterium_UC5.1-2E3	0	0	0	0	0	0	0	0	221	0	0	0	0	25	0	0	0
Asteroleplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
Catenibacterium	0	0	0	157	4636	0	0	0	0	0	0	2228	4	0	0	0	654
Coprobacillus	0	0	0	0	0	0	0	0	0	11	0	0	178	0	0	0	0
Erysipelatoclostridium	3830	0	0	8	0	9	68	13	0	152	0	62	7	14	268	0	0
Erysipelotrichaceae_UCG.003	0	1077	1093	0	0	1589	78	2256	502	682	2803	3408	52	1597	257	4	8
Erysipelotrichaceae_UCG.004	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0
Erysipelotrichaceae_UCG.006	0	0	0	662	0	0	0	0	0	0	0	0	0	0	0	0	0
Faecalitalea	121	0	0	0	0	0	17	0	0	328	0	8	0	0	0	0	0
Holdemanella	0	0	2	0	13	0	57	0	0	0	2973	0	1242	485	0	0	1002
Holdemania	0	4	32	0	15	0	11	11	52	25	0	22	94	4	8	7	11
Solobacterium	0	0	0	1208	1072	0	0	0	4	0	2	14	0	0	0	0	89
Turicibacter	21	12	25	133	0	0	0	0	0	383	0	19	1128	0	66	0	0
Firmicutes_bacterium_CAG.56	0	5	60	0	15	227	17	36	290	0	52	195	160	0	9	106	53
Acidaminococcus	0	4	0	0	0	9	0	0	0	0	18	0	0	0	0	0	0
Phascolarctobacterium	0	4	5194	0	5714	0	388	2378	565	98	25	95	512	974	819	17896	63
Allisonella	0	0	0	0	48	0	10	33	0	0	0	0	0	0	0	8	0
Dialister	197	85	0	159	2359	10389	0	0	439	5092	0	0	9694	4210	19	0	4066
Megamonas	4181	0	6719	0	0	218	18	0	0	0	0	0	0	0	0	0	0
Megasphaera	0	0	17	0	0	6185	0	0	0	0	0	0	33440	0	10	6715	0
Mitsuokella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385
Negativicoccus	0	0	5	0	0	7	0	0	0	0	0	0	0	0	0	0	0
Veillonella	46	0	151	25	15	131	130	225	1420	178	0	0	47	476	0	2302	0
Cetobacterium	0	0	0	0	0	0	0	11141	151	0	0	0	0	0	29	0	0
Fusobacterium	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0
Leptotrichia	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	3	0
Victivallis	0	0	0	12	0	0	3	0	0	0	0	0	0	0	7	0	0
Parasutterella	0	0	0	0	0	0	0	0	120	1212	0	235	0	34	0	0	0
Sutterella	0	0	0	0	0	0	9	57	0	0	0	43	48	623	0	36	127
Lautropia	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxalobacter	0	0	9	0	0	0	9	0	0	0	0	0	169	0	0	34	84
Neisseria	0	0	34	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Bilophila	0	0	302	0	18	13	22	78	201	0	8	147	151	19	25	85	120
Desulfovibrio	0	4707	0	0	472	0	0	141	16	0	0	2371	159	0	294	530	1597
Campylobacter	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Helicobacter	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Succinivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2209
Citrobacter	0	0	0	0	0	0	40	1432	0	0	0	0	58	0	0	0	218
Enterobacter	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0
Escherichia.Shigella	15845	2147	4900	331	86	38	1404	12106	138	15778	86	575	1883	64	65416	529	2583
Klebsiella	577	0	668	24	0	2721	100	6732	244	0	45	148	0	173	288	0	6886
Pseudocitrobacter	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Hafnia.Obesumbacterium	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
Haemophilus	0	0	354	0	0	322	858	32	101	9	0	11	28	207	0	323	0
Acinetobacter	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Pseudoxanthomonas	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Candidatus_Saccharimonas	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Fretibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Pyramidobacter	0	0	0	0	0	0	0	0	0	1838	0	0	0	0	0	0	0
Akkermansia	19	21	9847	11	1895	5	809	0	0	2303	361	8094	15959	260	771	103	6223
Distigma	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
