	sample_30114	sample_30208	sample_30225	sample_30401	sample_30417	sample_30445	sample_30455	sample_30488	sample_30517	sample_30571	sample_30590	sample_30597	sample_30733	sample_30774	sample_30784	sample_30798	sample_30800	sample_30806	sample_30810	sample_30815	sample_30830	sample_30864	sample_30865	sample_30867	sample_30875	sample_30919	sample_30923	sample_30929	sample_30945	sample_30979	sample_31076	sample_31079	sample_31085	sample_31089	sample_31106	sample_31110	sample_31111	sample_31123	sample_31210	sample_31216	sample_31270	sample_31373	sample_31389	sample_31391	sample_31392	sample_31439	sample_31448	sample_31449	sample_31451	sample_31505	sample_31512	sample_75041
Alloprevotella	0	12059	0	0	2	0	0	2	0	2	0	0	0	0	0	468	0	0	0	58	114	0	0	2	0	0	0	0	3099	0	0	86	0	3	0	0	0	0	292	0	0	0	14	0	0	0	0	2	0	2205	0	2
Paraprevotella	371	3687	914	13	17	138	634	0	0	10	6	0	2138	181	31	256	42	48	250	120	6	0	0	0	0	440	815	0	16	1668	624	40	0	0	534	480	989	62	287	553	2583	0	87	2023	4669	1045	5434	0	5372	477	1312	0
Prevotella	0	12	3	0	0	0	0	210	0	0	4	0	3	0	0	7	0	64	2	3	15	0	0	0	0	0	0	788	78	59	8	17	0	0	0	0	0	0	0	0	0	3	5	0	0	27	28	30	0	9	0	0
Prevotella_2	0	95	0	16	0	0	0	0	0	44	0	0	583	196	0	69	0	0	252	55	86	0	0	0	0	0	0	0	404	0	0	127	0	0	0	0	8680	0	707	0	0	0	0	0	4485	0	0	0	0	42	0	3
Prevotella_6	0	6	23	0	0	0	0	35	0	0	0	0	0	0	35	0	0	0	0	0	14	0	0	0	2	0	0	3854	0	0	0	11	0	0	0	0	10	0	0	0	0	0	0	0	0	0	274	8	2	0	0	0
Prevotella_7	0	0	0	0	0	0	0	0	0	860	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	14	0	0	0	2724	0	0	6	0	0
Prevotella_9	88	8730	0	3364	17	14	9	0	0	15	2801	4	17805	1518	742	1418	0	13	6	276	54	8	4394	107	0	11356	8975	0	1484	52	410	2796	0	10195	29	1580	16918	5681	6217	0	0	28739	58331	62123	15739	11281	0	14931	17	1561	0	942
Prevotella_CAG.873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellaceae_NK3B31_group	0	0	0	0	0	0	0	0	0	0	3531	0	0	0	0	25	0	34	43	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellaceae_UCG.003	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes	5647	1712	7276	152	107	0	1716	37	7	74	4797	639	243	26	560	768	85	962	210	474	291	26	4517	54	242	918	788	2150	2419	3116	913	228	68	38	199	4330	567	138	291	8	506	334	1227	3864	2185	6905	5293	1860	4570	933	13	56
Rikenella	0	2	5	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
Rikenellaceae_RC9_gut_group	259	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	421	0	0
Bergeyella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Chryseobacterium	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elusimicrobium	0	0	0	24	0	0	99	0	0	5	0	0	0	18	0	0	0	0	146	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella	0	0	0	31	17	23	0	29	17	12	281	0	5	0	0	0	137	9	0	15	0	122	4	0	69	0	0	0	0	0	7	5	0	0	10	0	0	39	0	30	0	181	104	0	46	11	0	19	0	0	44	26
Sporolactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0
Carnobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicatella	0	5	0	0	29	0	0	54	74	25	157	0	6	0	0	0	245	0	0	0	0	0	17	0	44	0	36	0	0	0	48	0	0	0	21	0	0	26	0	0	0	33	75	0	0	0	0	19	0	0	234	0
Isobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus	39	0	29	27	44	0	126	86	0	0	350	71	0	27	7	27	1427	21	0	28	0	29	313	19	250	61	0	6	0	11	0	35	70	0	229	0	0	0	19	234	0	372	0	9	32	13	0	0	0	81	65	517
Vagococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus	12	6	14	1545	0	66	6	0	0	29	109	159	298	0	25	0	158	92	18	0	0	94	27	95	272	0	4	0	0	11	102	90	0	8	271	14	0	180	2884	919	0	7692	522	0	2	163	253	2	0	421	154	4
Pediococcus	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0	0	0	0	0	0	0
Leuconostoc	0	0	0	0	7	0	0	0	99	0	0	0	0	0	0	15	0	0	0	33	0	8	0	0	28	0	2	0	144	7	8	4	7	35	0	0	0	2	0	0	2	0	0	0	3	8	0	0	0	0	22	185
Weissella	363	0	16	90	13	0	0	0	0	8	5	0	0	0	0	22	19	11	0	124	130	226	18	0	62	0	0	0	0	0	2184	0	17	111	16	13	0	0	176	0	0	57	26	20	9	0	16	0	3	0	74	0
Lactococcus	105	0	36	12	223	0	10	0	0	7	59	0	0	127	0	21	46	5	0	18	0	20	0	0	96	0	0	0	0	0	117	0	28	0	0	0	0	9	46	29	19	578	0	13	10	70	0	46	0	13	0	3
Streptococcus	70	71	583	5345	1216	132	26	1863	274	262	9298	49	256	2403	29	53	20244	646	212	4198	1232	2614	252	52	5894	14	1236	128	29	67	2381	9509	106	186	3921	0	115	1481	1467	883	971	9018	4213	134	127	189	209	1597	94	189	3655	1276
Catabacter	12	0	0	0	0	0	4	0	0	0	7	13	0	0	0	0	0	16	0	22	4	0	33	0	15	0	0	7	0	6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Christensenella	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Christensenellaceae_R.7_group	3222	279	3384	892	5552	47	4401	103	832	3415	2428	1844	696	1666	3569	675	50	5818	844	4587	368	783	1939	3919	687	2827	3137	378	1457	1623	192	2188	161	6	710	1044	530	0	136	0	6766	366	189	676	8827	8079	765	4271	1822	1815	0	1365
Clostridium_CAG.352	0	0	0	0	0	0	0	4515	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	2078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	39	0	3517	0	0	0	0	0	0
Clostridium_sensu_stricto_1	1998	0	35	814	6567	25	1192	2586	100	0	181	202	14	200	10509	401	327	80	9126	12731	83	4311	13	9851	5999	501	596	45	81	153	419	1250	101	592	824	5	30	4890	2886	1028	278	1200	67	314	2272	469	1502	704	305	2263	137	4939
Clostridium_sensu_stricto_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_sensu_stricto_6	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sarcina	0	0	0	0	0	0	0	0	0	0	0	2045	0	0	0	78	0	0	459	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	153	0	0	0	0	0	0	0	288
Clostridiales_bacterium_S5-A14a	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	207	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defluviitaleaceae_UCG.011	12	0	0	0	0	0	8	0	0	0	0	0	7	49	0	4	0	38	0	0	0	0	0	0	0	31	0	0	12	0	0	5	61	0	0	5	0	0	0	0	0	0	0	60	0	0	12	18	0	56	0	0
Anaerofustis	22	0	16	0	0	0	8	2	0	0	0	0	0	5	0	0	0	3	0	0	5	2	0	5	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	25	5	0	0	0	13	0
Eubacterium	12	0	14	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	575	0	80	0	25	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	10	0	0	3	420	0	0	0	0	0	86	0	23	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
Ezakiella	0	81	0	5	3	0	0	0	0	0	5	0	0	0	0	0	0	137	0	0	5	131	0	0	0	0	0	2616	8	1048	3	0	0	0	0	3	5	0	0	0	0	0	0	0	0	5	0	44	14	0	0	0
Finegoldia	0	3	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	19	0	0	0	5	0	0	0	0	9	0	0	0	0	0	0	0	0	0	8	17	2	0	0	0
Gallicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvimonas	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	14	12	31	13	0	28	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Peptoniphilus	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	159	0	2	0	0	0	487	0	89	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
Family_XIII_AD3011_group	756	263	147	409	320	0	414	110	0	522	154	96	190	141	241	158	298	164	132	282	221	62	489	451	323	194	31	65	59	31	18	425	4	8	203	95	106	109	33	0	6	31	0	147	115	988	0	82	0	362	0	161
Mogibacterium	1001	282	0	6	0	0	0	24	22	105	22	0	0	0	7	0	30	11	6	14	247	35	0	8	0	19	0	50	0	0	0	8	0	0	0	0	0	3	50	0	0	0	0	0	0	3	0	0	0	0	6	0
Murdochiella	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	18	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0
Agathobacter	1110	1971	489	5549	4007	4175	61	4828	1601	3701	858	554	3872	2778	604	2296	8852	422	5354	6001	73	2141	50	1078	4300	974	465	2700	1967	1304	508	2335	185	3345	1717	1055	2387	4046	238	467	4363	15390	2877	1497	3430	2024	3597	6386	2865	5600	5495	1952
Anaerosporobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerostipes	855	112	2468	1626	521	894	284	1566	254	71	1549	974	244	28	761	91	5305	353	988	2471	664	1755	688	349	2299	137	54	511	65	28	33	1856	0	1375	54	1214	50	148	139	201	664	149	1649	541	5699	1382	0	191	27	776	909	633
Blautia	6500	773	1534	11317	8540	8772	898	25065	642	643	5380	3416	509	447	7151	1734	12406	552	9068	11259	1611	14429	11947	3846	15088	649	1614	1642	450	327	215	6034	281	3360	885	5014	483	4215	679	700	1991	1849	3137	766	7713	2719	184	2251	720	7040	3598	6550
Butyrivibrio	0	0	0	0	0	37	0	54	0	0	0	0	55	78	778	0	0	0	0	0	0	0	0	0	0	977	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5552	0	353	488	3170	0	2252	0	0
Cellulosilyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprococcus_1	593	0	371	119	38	0	448	17	35	130	257	148	69	65	72	202	85	47	218	115	173	77	0	127	36	37	0	20	37	42	23	87	26	0	99	133	74	556	38	0	33	77	141	188	311	313	0	337	22	240	0	174
Coprococcus_2	236	0	474	49	725	0	10	0	0	32	402	862	1980	0	527	0	0	87	0	293	58	178	0	6	64	187	0	49	9	936	279	174	248	6	124	57	0	2422	60	0	297	0	931	36	0	222	1203	5018	2501	203	0	222
Coprococcus_3	786	53	150	205	2206	0	342	4134	213	240	968	260	96	175	229	119	165	111	959	1094	93	4254	6	142	1653	61	286	148	144	367	33	962	80	0	163	709	200	27	269	0	197	494	885	209	2104	905	241	219	173	312	0	535
Dorea	1529	156	310	1780	2210	142	226	6285	244	687	1436	383	179	157	1541	621	3404	379	2196	1490	248	3487	186	2072	1013	250	1053	535	172	285	132	1624	60	1847	350	729	1437	1513	634	474	571	1626	1627	930	3138	1148	178	391	147	797	1302	2272
Eisenbergiella	0	59	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	87	0	0	0	0	124	0	0	0	13	347	9	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0
Fusicatenibacter	596	61	402	1655	1853	201	42	419	1031	308	394	384	428	72	26	14	4911	23	160	1026	209	2424	304	299	1340	135	721	868	71	127	35	231	25	682	419	178	66	1206	134	0	310	585	594	79	1036	1781	36	156	269	728	777	1927
GCA.900066225_genus	0	0	96	0	13	0	39	0	0	0	0	9	47	90	30	7	0	24	71	26	0	0	5	13	29	44	35	20	0	0	12	20	0	0	0	99	0	0	27	0	0	0	0	31	0	112	0	6	0	170	0	16
GCA.900066575_genus	0	8	0	0	7	0	0	15	0	7	14	0	137	86	14	0	0	20	13	0	0	2	0	0	7	139	6	46	36	17	0	11	50	0	0	4	46	4	0	0	24	8	22	279	14	103	26	593	18	64	0	0
Howardella	494	0	0	197	0	0	0	0	0	476	157	0	45	141	204	90	0	0	454	0	34	0	0	14	0	69	0	469	0	0	0	0	7	0	0	0	17	0	11	0	0	0	0	143	0	0	23	0	0	0	0	0
Hungatella	0	55	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	27	0	0	285	0	255	0	0	0	12	34	27	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	8	0	0	0	0
Lachnoclostridium	0	2276	23	159	487	96	0	35	162	1473	0	23	816	120	0	21	102	15	13	24	8	10	336	9	225	211	1087	8893	288	286	12	28	335	3294	326	11	1991	83	70	3025	47	174	496	502	121	311	201	500	269	109	78	39
Lachnospira	27	402	132	407	102	0	0	498	0	153	379	0	2606	60	25	411	83	6	206	119	54	16	505	133	46	1210	301	1180	1379	716	579	744	491	226	34	83	7399	24	321	0	161	78	2308	1467	191	548	1518	6260	3117	666	204	372
