	sample_30170	sample_30381	sample_30383	sample_30394	sample_30398	sample_30418	sample_30433	sample_30460	sample_30467	sample_30516	sample_30518	sample_30580	sample_30585	sample_30587	sample_30675	sample_30696	sample_30709	sample_30741	sample_30753	sample_30799	sample_30804	sample_30814	sample_30835	sample_30843	sample_30855	sample_30862	sample_30917	sample_30950	sample_30956	sample_30957	sample_30958	sample_30964	sample_30968	sample_30974	sample_30994	sample_31024	sample_31025	sample_31054	sample_31088	sample_31096	sample_31119	sample_31174	sample_31206	sample_31209	sample_31241	sample_31246	sample_31263	sample_31267	sample_31316	sample_31387	sample_31388	sample_31394	sample_31399	sample_31412	sample_31413	sample_31457	sample_75024
Cutibacterium	0	0	0	0	0	9	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium	0	5	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudopropionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Libanicoccus	0	0	0	0	175	0	125	0	0	8	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0
Adlercreutzia	0	0	0	208	0	97	76	71	269	0	0	86	0	17	0	0	0	0	0	51	49	416	0	286	65	10	0	13	0	0	10	0	0	0	20	0	0	0	135	10	0	0	60	67	0	0	0	0	7	0	86	0	20	43	61	0	19
Atopobium	0	7	104	8	0	64	26	2	9	0	5	3	48	0	0	0	11	66	130	33	0	5	10	8	0	0	0	0	0	10	0	8	47	5	2	20	0	0	11	5	2	0	0	0	12	5	0	12	7	9	0	0	4	34	0	0	4
Collinsella	2002	5646	11761	2965	346	1353	9574	6049	2324	126	3277	1081	1301	453	0	103	0	2842	2917	18692	907	1302	3024	100	814	947	1293	1537	0	3	2825	261	139	8716	11	1928	2228	2431	1309	205	205	1059	167	682	0	1135	3561	677	3847	1261	1100	2621	4741	1657	55	260	5677
Cryptobacterium	0	0	17	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthella	0	211	7	0	0	5	0	32	94	0	0	19	15	0	3	0	0	0	0	0	21	312	18	149	32	0	0	0	43	182	356	0	103	0	0	0	0	111	91	4	0	0	37	15	0	0	0	6	75	0	0	13	0	0	11	0	0
Enorma	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterorhabdus	1416	0	4357	0	4370	0	1823	0	0	0	0	5	0	0	0	0	0	504	312	0	0	1084	0	7	11	0	52	0	0	0	0	0	0	0	0	425	0	0	0	7	0	108	0	0	0	0	0	0	0	0	0	0	135	124	8	0	16
Gordonibacter	13	125	36	175	0	289	10	3	87	0	4	55	4	37	8	0	0	0	0	68	154	6	49	210	24	0	0	7	0	0	66	0	0	13	32	0	42	98	14	33	6	0	6	6	12	18	9	20	22	12	49	0	0	0	19	0	13
Parvibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senegalimassilia	160	978	2734	0	2595	0	756	0	0	14	0	0	0	0	0	60	0	686	626	2688	0	0	0	0	0	116	337	0	0	0	0	28	0	414	0	0	29	2051	0	0	0	53	0	0	0	0	0	0	0	0	0	0	257	560	0	67	1790
Slackia	2070	0	44	0	296	0	0	0	0	11	31	357	0	6	0	163	0	657	4	1192	2550	0	0	0	74	107	0	0	0	0	0	29	5	0	0	0	165	585	0	508	0	0	0	183	24	0	0	104	0	233	113	0	31	121	85	655	829
unclassified_Coriobacteriaceae_CHKCI002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coriobacteriales_bacterium_DNF00809	18	0	71	20	236	76	56	47	32	0	0	0	19	0	0	0	0	0	0	42	16	0	0	24	10	0	0	7	0	0	6	0	0	0	0	0	11	0	16	5	0	0	0	0	0	0	0	0	0	0	0	27	12	14	40	0	23
Raoultibacter	0	0	10	10	0	0	8	0	13	0	0	19	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	7
Bacteroides	2696	52788	3477	33140	181	2404	890	7081	1126	3000	14391	21772	18417	20322	641	272	11	582	313	486	3772	27201	7715	663	2229	5147	17922	40385	28476	10615	25194	973	28722	10743	13437	1104	735	29421	641	2939	21446	3478	30257	4265	29915	6491	6997	8018	33763	64928	59556	84063	32914	17125	56047	18873	30729
Phocaeicola	0	0	0	0	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muribaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barnesiella	276	1820	127	302	31	275	6	47	12	204	748	96	0	522	74	0	0	6	12	0	0	0	68	49	65	342	66	0	0	0	0	35	0	160	0	0	75	0	0	87	244	233	1129	0	0	87	511	25	194	0	344	0	1012	913	0	1895	115
Butyricimonas	0	0	0	30	6	13	6	24	0	14	12	46	2	33	3	0	0	0	0	960	91	78	0	0	0	33	189	0	0	0	81	0	0	19	139	0	0	0	0	0	106	6	239	199	70	27	26	33	8	223	242	51	384	143	208	39	18
Coprobacter	0	0	0	8	0	9	0	0	0	4	37	13	0	0	0	0	0	0	0	0	0	16	0	3	0	14	0	30	48	15	0	0	0	0	0	0	5	0	0	0	44	0	72	14	0	54	418	0	133	220	67	5	74	3	0	0	37
Odoribacter	125	0	35	140	6	79	15	55	6	16	129	109	6	162	0	0	0	0	0	0	53	37	22	16	66	19	140	0	66	16	194	0	0	44	269	0	52	101	0	63	234	64	126	0	82	28	56	75	28	462	1486	332	804	2320	1341	343	230
Parabacteroides	1008	3803	208	560	45	172	254	107	25	112	406	301	2739	280	0	44	0	107	6	25	729	741	3295	76	3	389	932	1309	1860	0	455	114	0	279	457	139	69	1984	162	0	683	112	845	534	2137	600	264	928	514	3506	1594	2939	3021	1633	3023	1051	2085
Porphyromonas	0	0	2	0	2	10	0	0	33	0	117	10	276	26	0	0	0	136	0	0	18	5	334	17	0	0	0	46	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	12	31	0	8	0	34	7	0	0	0	0	0	9
Proteiniphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0
Sanguibacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	46	0	0	7
Alloprevotella	0	0	0	0	263	0	192	0	0	4	0	0	3	0	0	922	0	2438	0	503	461	0	0	0	0	0	0	0	0	0	0	28	0	0	5208	3173	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraprevotella	388	0	61	533	11	162	191	105	14	0	1719	275	1062	0	0	14	0	433	0	6	157	0	169	257	70	152	701	0	0	0	39	10	0	200	653	0	148	0	21	0	4431	34	0	0	0	100	577	46	3	552	0	2272	638	199	0	570	0
Prevotella	5	171	10	0	8	31	0	0	0	5	0	6	513	0	0	0	0	45	0	0	39	0	198	10	0	14	11	37	6	11	0	0	289	0	14	0	0	7	0	0	0	0	0	0	26	0	0	0	8	32	0	0	0	0	0	4	66
Prevotella_2	0	0	0	0	4	0	178	0	1057	0	0	0	1982	0	0	0	0	62	0	27	2149	0	0	0	0	0	0	0	0	0	0	25	0	0	6170	8684	243	0	23	0	0	0	0	1210	0	0	0	2150	0	0	0	0	0	0	0	0	0
Prevotella_6	0	4	0	0	0	0	0	2	0	0	0	14	2754	14	0	0	0	111	0	0	0	0	15	0	2	0	0	0	0	0	0	0	0	0	69	3	0	0	0	0	0	0	19	0	18	0	0	0	0	30	20	0	0	6	0	0	0
Prevotella_7	0	0	143	0	0	0	0	432	74	0	0	0	0	0	0	183	0	0	0	0	17	0	6	0	29	0	0	0	0	0	0	0	15	5438	0	2856	0	0	0	0	0	0	0	0	0	0	0	3842	0	1265	0	8881	0	0	0	155	0
Prevotella_9	6022	24	818	73	17328	11	6189	2927	0	1209	13	24	4799	0	0	17656	0	298	1771	847	5233	0	3463	1945	14	634	5	0	20	0	40	395	10	1646	32476	8315	595	10	908	28	0	205	6	5154	0	10	0	24889	21	11180	23	28	13861	21167	19189	34770	21
Prevotellaceae_NK3B31_group	14	0	0	0	0	0	0	269	0	0	0	821	0	0	0	0	0	0	0	35	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0
Prevotellaceae_UCG.001	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellaceae_UCG.003	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellaceae_UCG.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0
Alistipes	1026	11028	851	1142	28	931	34	118	175	582	573	2071	296	1678	74	21	0	69	45	23	238	4826	812	367	370	768	880	1651	816	605	284	73	340	1902	114	270	448	0	175	692	1626	657	3489	19	2415	1702	2538	1214	2086	3212	11154	1415	9495	6293	11071	2386	2808
Rikenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
Rikenellaceae_RC9_gut_group	0	0	0	0	22	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0
hoa5.07d05_gut_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hymenobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Chryseobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0
Flavobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Sphingobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
Flexilinea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elusimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	359	0	0	0	0
Anoxybacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geobacillus	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exiguobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella	8	3	8	39	2	5	13	6	41	0	0	85	17	3	0	36	0	27	91	105	0	0	0	22	9	0	0	7	0	12	26	13	0	0	0	45	0	51	0	24	0	62	0	19	32	18	5	0	27	5	15	18	0	7	15	11	0
Staphylococcus	0	4	0	5	0	0	0	0	0	0	0	0	8	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicatella	25	0	48	0	0	3	0	0	639	0	0	0	23	0	23	41	0	21	166	30	0	15	30	0	0	0	24	0	0	0	16	0	15	6	0	36	0	78	0	23	0	0	11	0	25	0	0	9	27	0	0	40	0	0	0	0	15
Isobaculum	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus	0	2502	826	376	169	0	886	152	1456	141	367	49	0	0	0	20	48	1256	9145	250	0	42	0	2381	85	15	0	0	166	201	0	0	0	0	3	0	0	217	0	51	0	68	0	166	0	0	0	0	0	21	0	9	0	0	13	0	0
Vagococcus	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus	0	41	2651	15	3830	9	354	6763	0	0	99	339	1091	33	0	31	8537	18	5991	54	3	33	24	19	11	0	79	0	95	20	6	2206	6	7	0	10	35	21	25	32	2	232	562	116	53	0	0	107	0	8	12	147	40	0	8	629	7
Pediococcus	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	14	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fructobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leuconostoc	0	0	39	617	0	0	163	0	11	0	0	9	6	0	0	0	0	0	12	32	7	18	12	178	7	0	0	0	5	0	0	0	0	0	2	0	10	319	12	0	0	16	0	0	7	0	0	0	0	0	0	0	8	2	0	0	14
Weissella	0	112	555	44	74	0	9	127	0	11	0	160	8	0	10	681	255	102	32	1673	8	18	303	8	0	8	0	0	33	26	8	102	0	0	0	3	18	126	30	0	0	71	0	0	6	0	0	62	23	0	83	19	0	3	0	0	11
Anthococcus	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus	0	14	1130	970	40	148	912	29	19	7	432	20	11	0	15	97	0	101	11	131	0	14	4	81	211	15	0	0	0	346	0	0	0	0	0	20	21	179	0	266	0	359	6	34	28	63	0	0	0	0	19	0	28	37	11	8	15
Streptococcus	499	231	726	1726	683	137	251	192	11418	70	472	116	661	121	56	5061	8683	1700	29544	2297	126	1163	2672	629	2212	103	181	14	324	1050	113	6767	1117	393	91	1453	99	4690	18	390	441	3083	529	544	418	351	21	1572	1164	657	337	263	5730	309	91	369	805
Catabacter	0	0	6	0	0	42	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	11	8	0	0	0	0	4	14	0	20	0	2	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	10	0	0	33	0	0	0
Christensenella	24	0	0	12	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	34	0	0	0	0	0	0	33	0	0	0	14	15	0	0	0	32	0	0	0	0	4	0	0	13	0	0
Christensenellaceae_R.7_group	2710	10	1500	748	2586	1035	4874	1338	274	2154	1152	2892	222	2035	1148	8	0	2341	254	803	1237	209	290	1960	898	790	10244	23	0	25	0	567	0	156	474	846	1047	487	710	4425	11	2590	984	1452	29	3797	22467	327	233	165	1999	90	2532	1239	2849	839	4832
Clostridium_CAG.352	0	0	0	0	0	0	394	0	0	0	0	0	0	1794	0	0	0	0	0	0	0	0	25	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0
Clostridium_sensu_stricto_1	151	57	58	1594	90	278	5033	1084	1057	0	56	1776	117	170	151	999	733	5024	366	1429	130	188	101	230	1017	12	4938	45	66	214	0	1916	116	303	250	27	755	81	540	702	166	273	1145	1097	596	9184	71	0	0	468	1255	3796	13794	3011	87	695	1236
Clostridium_sensu_stricto_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sarcina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	918	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiales_bacterium_S5-A14a	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	49	0	0	5	0	13	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defluviitaleaceae_UCG.011	0	0	0	0	6	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	52	31	0	0	0	39	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	56	17	0	13
Anaerofustis	0	0	2	0	0	0	4	0	0	15	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	19	0	0	0	6	0	0	0	0	0	0	0	0	71	0	0	0	0	13	0	0	0	0	0	0	0	0	3	0	0	0
Eubacterium	0	0	0	0	0	0	0	10	24	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	23	7	0	3	0	0	9	0	0	0	0	0	0	4	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	12
Ezakiella	5	0	0	0	6	68	0	5	18	2	0	5	74	20	0	0	0	227	59	0	22	10	1282	62	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	17	0	0	0	0	0	9	0	25	0	4	0	0	0	0	0	0	0
Finegoldia	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	17	4	0	0	0	10	13	0	0	0	2	0	0	5	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4
Parvimonas	0	0	0	6	8	8	4	0	7	6	0	6	11	4	11	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	147	0	0	0	0	0	0	4	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
Peptoniphilus	4	13	0	0	0	0	0	9	2	0	0	0	19	7	0	0	0	33	6	0	0	0	81	14	0	0	0	5	0	0	3	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Family_XIII_AD3011_group	794	0	460	814	194	155	562	139	131	61	33	345	28	404	28	0	0	173	114	742	294	230	126	152	173	63	304	13	16	0	105	52	0	8	66	92	172	293	531	67	7	76	753	79	0	223	702	81	7	140	270	201	126	349	38	22	215
Mogibacterium	0	0	26	10	154	0	106	0	13	0	0	10	30	0	0	0	0	171	28	9	0	4	4	0	0	0	46	0	0	0	0	0	0	0	0	46	0	0	13	12	0	0	0	0	0	15	0	0	0	3	5	0	0	12	0	16	0
Murdochiella	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	55	0	0	6	0	0	6	0	0	0	7	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agathobacter	6025	1310	366	738	8414	3100	881	5162	6935	254	4201	8945	1786	367	3454	355	0	866	1887	3975	303	886	1930	453	4522	4341	7759	2765	3184	0	1093	1408	0	347	1444	14213	523	2276	689	2020	1153	1841	5476	941	1166	3932	1591	1469	3034	3028	4117	16638	6840	1591	3230	12261	70
Anaerosporobacter	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerostipes	124	445	2328	4791	0	36	253	419	1455	23	185	4464	54	66	119	91	0	54	1487	495	341	4332	298	119	867	163	181	86	96	11	162	216	136	53	85	1201	175	1623	973	30	47	1820	1103	80	95	3413	985	89	3100	906	967	124	1170	744	1004	0	18
